,GSM2651032,GSM2651033,GSM2651034,GSM2651035,GSM2651036,GSM2651037,GSM2651038,GSM2651039,GSM2651040,GSM2651041,GSM2651042,GSM2651043,GSM2651044,GSM2651045,GSM2651046,GSM2651047
Ebpl,11.81995667,11.46958967,10.65778258,10.91803166,10.98447214,10.76355342,11.71352671,11.57094063,10.93975282,10.95079976,12.00221654,11.65044614,11.95472889,11.80011731,10.76388564,11.08421858
Mgat2,10.56302211,10.5069382,9.844754939,10.09098993,10.00953796,9.628856753,10.62128132,10.58558097,9.971356589,10.0521069,10.85155254,10.47229272,10.69248861,10.58950631,9.819165644,10.02630288
Oas1a,13.0104247,12.88586428,11.2718199,11.9216267,11.42219561,11.63750055,13.48882485,13.1655178,10.80849373,11.4323206,12.6460295,13.23639822,12.54388957,12.86264705,11.90061794,11.30432375
Fstl1,14.0797001226667,14.0099202743333,12.514474947,13.325040347,13.5013027766667,12.5765313643333,14.1067524713333,14.0316621756667,12.8136035306667,12.8280000583333,13.823959776,13.9521141153333,14.0790013233333,14.2064356573333,12.9242133746667,13.1952649446667
Aif1,12.59811524,12.81984518,11.1513546,11.51359422,11.47979155,11.46583325,12.77345167,12.65920609,11.27842207,11.69978475,12.75097164,13.158166,12.33278131,12.26922194,11.42242825,11.56372993
Arrb1,11.87807254,12.26524709,13.42492314,13.17614585,12.77681672,13.10675766,11.98367451,12.1287887,12.81055442,13.01262179,11.86279729,12.60285939,12.07088606,11.94947827,13.01310529,13.02001016
Ap1s1,11.6821914465,11.7289068835,11.019085124,11.18626305,11.1831594125,10.974762049,11.6966395245,11.5520512805,11.1299988035,11.239209647,12.00014364,11.831014934,11.7814474685,11.8435738415,10.9735615515,11.0971734835
Cav1,10.604489365,10.86847676,9.639820215,9.975778961,9.9905309,9.6049417675,10.73775805,10.688526545,9.9637677745,10.212112325,10.670375265,10.98143352,10.703761355,10.77377513,9.9259983385,10.096479275
Cd79b,9.744760007,10.76881907,12.78143014,12.62321707,11.85740048,13.19423558,8.984506631,10.5678177,12.51626382,12.40272687,8.668668372,9.691478873,9.112382398,8.493987216,12.42985815,12.60552495
Fam213a,10.13605875,11.09150998,13.19037123,12.83126671,11.83951799,12.95399392,10.25636467,10.69489396,12.21125556,12.54103098,9.563053556,11.6500467,10.28555909,9.658516651,12.21079271,12.4237552
Clec4n,13.2254919,12.96539353,10.52349626,12.33682909,11.73526876,11.07169297,13.57586505,13.19463339,11.39062234,12.35508628,13.50157684,12.263401,12.89053931,13.11461352,11.37019035,11.40041247
Vamp2,9.421584503,9.59774608,10.36562973,10.37070568,10.12744457,10.53155863,9.404170057,9.302565187,10.41054108,10.39866401,9.282039602,9.53535353,9.593200974,9.399192988,9.936128566,9.940524727
Clec4a1,11.92107666,11.92711765,10.35042229,10.94247067,10.76836033,10.53950123,12.2379691,12.16581096,10.65607921,10.94201259,12.0064456,12.47153198,11.93023572,11.59009898,11.16463287,11.04007939
B4galt7,10.1338022435,9.9717040635,9.400276897,9.5901874635,9.7263423955,9.4790439565,10.01935078,9.9402947035,9.385918136,9.4536364745,10.2061778785,10.019171579,10.163758947,10.3556475955,9.493241703,9.5690389635
Fads3,11.22538543,11.125797015,10.0469624915,10.5388116,10.7952063225,10.189084216,11.293821765,11.18594394,10.278744126,10.139605631,11.30445722,11.25606655,11.34606927,11.497690095,10.241342132,10.517124019
Cilp2,11.65157599,12.18020544,13.2983873,13.74088006,14.3016263,13.66672264,11.09758014,10.84457567,14.41047164,13.51822743,11.17206649,10.25794845,10.71771553,10.84912353,13.59021584,14.44077496
1110001J03Rik,12.68008593,12.70925067,13.45088548,13.21664315,13.18091623,13.38190335,12.49284691,12.47370883,13.68596111,13.51957473,12.66586875,12.89640892,12.55166673,12.4106769,13.45855125,13.28902652
Cst3,15.4728353,15.736167655,16.368465135,16.19411621,16.55139529,16.52340524,15.39023285,15.359795835,17.055479745,16.660675575,15.22012131,15.072940415,15.271655825,14.680723155,16.71607402,16.87561437
Ctdspl,10.508887137,10.796413797,11.194307135,11.009318614,11.081237239,11.038484563,10.4684909945,10.624177055,11.2895591575,11.125269917,10.2885616755,10.6023037295,10.40337304,10.3066316085,11.1106679085,11.182326191
Man2a1,12.21186794,12.092689755,10.69387743,11.1462731,11.596990675,10.866721861,12.41206987,12.24882139,10.9136417065,10.9136375315,11.962764425,11.994636195,12.098307315,12.143762565,11.295239015,11.350931925
Uck2,12.548320975,12.16368676,11.07632473,11.4358393,11.653643525,11.32689402,12.8646449,12.414647255,11.377341995,11.270800805,12.554122665,12.13147753,12.6240921,12.91631315,11.42888871,11.582016775
Gpx7,12.37016625,12.21936483,10.2739239,10.94851894,11.44583046,10.49569768,12.26460683,12.1425488,10.86386598,10.46798923,12.62267652,12.07902841,12.45538863,12.33909599,10.27478573,11.03557567
Hmbs,11.9011613,12.60254689,15.69486899,14.56591364,13.87171047,15.15104221,11.73158487,12.62865989,14.03553931,14.29660762,11.78302066,11.79083567,12.21487435,11.79916878,13.63957917,14.04235521
Cttn,10.249904757,10.0098824756667,9.11688754366667,9.46992322233333,9.72240519466667,9.21564971633333,10.2065450806667,10.0594360723333,9.50915999566667,9.31949920133333,10.3496880963333,10.0754260096667,10.179621392,10.3392722473333,9.266194612,9.55252784766667
Suox,10.79192675,10.64768782,11.53567397,11.1318775,11.14002011,11.38550729,10.72935823,10.71626186,11.15503525,11.03185403,10.5927997,10.81386152,10.8116043,10.84474166,11.07116397,11.38154539
Angptl7,9.584715969,9.879987513,12.54338576,13.17071717,12.40556969,12.98979083,8.686389794,8.81376583,13.92939262,12.99212914,9.740380445,10.92864732,9.098411545,10.52347399,13.19933652,12.92691481
Moxd1,11.38770621,10.50643634,7.882858901,8.415885311,9.467600987,7.891335545,11.22661926,10.36871416,8.257204173,7.749757997,11.03048421,9.825016232,11.13977809,11.08020785,7.920284649,8.553858123
Wisp1,10.8486064325,10.3437254465,8.794031584,8.7959384245,9.39382407,9.031391869,10.8310692175,10.5207490005,9.3395129555,9.118311371,11.156109326,10.00352255,10.961105567,10.9644786175,9.1721068485,9.6020026585
Dmpk,9.741050151,9.9263330065,10.23828132,10.194171283,10.3453880755,10.38914658,9.750743295,9.853854222,10.751149214,10.39158531,9.551854985,9.8582177405,9.945129429,9.6250428505,10.324404137,10.4649237685
Asb17os,5.655355992,6.584461452,10.51801739,9.024279488,8.336331759,9.891706227,4.92978623,6.413457993,8.365824681,8.806736847,4.431745694,5.104610213,5.82507883,4.807171383,7.949067432,8.561133066
Gfi1b,7.005364229,7.827184235,11.55844132,10.5800718,9.578243897,11.1275965,6.425923231,8.007926407,9.94395678,10.3715898,5.471964796,6.203449019,7.123559611,6.12348533,9.676061011,9.96708033
Cd9,13.76792951,13.73138814,14.33948383,14.57743836,14.54923967,14.49421318,13.69143832,13.68457877,14.63310045,14.58413699,13.65942884,13.94761704,13.92421252,13.97572734,14.81460905,14.73204252
Fam46c,8.770390299,9.24156686525,11.23194301425,10.76863589,10.2332981365,11.00197468925,8.571188393,9.188648736,10.18286655675,10.36059641925,8.12457992725,8.384881418,8.701809628,8.425296921,10.05498501275,10.33047505275
Pdia4,10.97553473,11.01257114,9.606697669,10.02533402,10.43059376,10.03046607,11.17217146,11.23946653,10.10984945,10.16393353,11.28437713,11.06074122,11.42466305,11.36061527,10.38374017,10.42698126
Lrfn4,10.89362857,10.70513138,9.481448936,9.947999626,10.11520596,9.874803723,10.76560183,10.81962812,10.13374184,9.713264994,11.12804598,10.64615063,10.99690212,11.18505104,9.676815448,10.10409533
Acadm,12.4055591,12.44931446,12.83024325,12.79318061,12.88486136,12.98350026,12.32423384,12.1392587,13.31886722,12.98613797,12.03331655,12.6431176,12.39195889,12.00436413,13.05194553,12.93993622
Tal1,8.71832392,9.410498719,12.50919699,11.33234847,10.66984384,11.88037449,8.672621229,9.648494589,10.9222555,11.39809024,8.656022952,9.017389282,9.380253946,9.117457717,10.8395491,10.92001157
Mkrn1,9.24355424225,9.513029274,11.80258083425,11.17547036325,10.451666251,11.5380538085,9.1897682185,9.5350212805,10.451600488,10.78923019675,9.13076676725,9.05375224025,9.1785992715,8.93365170975,10.514006584,10.763001971
Abtb1,10.0362592575,10.4315539655,11.92010814,11.504633565,11.06394334,11.53435006,9.7820248255,10.6384324095,11.640362275,11.49892202,10.091634942,10.1332213065,10.417530672,10.074405361,11.49997355,11.23831929
